synset,basicness
south_sea_islands.n.01,0.5454545454545454
golden_age.n.01,0.5384615384615384
broadcast_journalist.n.01,0.5384615384615384
issue.n.02,0.5238095238095238
universe.n.01,0.5454545454545454
anagnost.n.01,0.5714285714285714
strange_attractor.n.01,0.5217391304347826
token.n.02,0.5333333333333333
supporter.n.01,0.5454545454545454
plot_element.n.01,0.5263157894736843
syndicate.n.01,0.5454545454545454
death.n.04,0.5454545454545454
contingent.n.02,0.5333333333333333
thought.n.03,0.5384615384615384
jihad.n.01,0.5625
royal_road.n.01,0.5294117647058824
theme.n.03,0.5384615384615384
oblateness.n.01,0.5294117647058824
estimate.n.01,0.5263157894736843
nation.n.02,0.5555555555555556
sphere.n.01,0.5384615384615384
advertence.n.01,0.5294117647058824
holy_order.n.01,0.5454545454545454
judgment.n.01,0.5333333333333333
air.n.03,0.5555555555555556
party.n.01,0.5454545454545454
running.n.03,0.5384615384615384
week.n.01,0.5454545454545454
front.n.04,0.5333333333333333
discovery.n.01,0.5454545454545454
counterbombardment.n.01,0.5238095238095238
business.n.01,0.5384615384615384
meeting.n.03,0.5384615384615384
world_power.n.01,0.5294117647058824
side.n.04,0.5294117647058824
vitamin_pill.n.01,0.5625
shadow_cabinet.n.01,0.5217391304347826
incandescence.n.02,0.5384615384615384
undivided_interest.n.01,0.5333333333333333
enfilade.n.01,0.5294117647058824
support_level.n.01,0.5294117647058824
newspaper.n.01,0.5263157894736843
fresco.n.01,0.5238095238095238
logjam.n.01,0.5384615384615384
peeper.n.02,0.5294117647058824
trinity.n.02,0.5263157894736843
plea_bargain.n.01,0.5294117647058824
urgency.n.01,0.5333333333333333
writing.n.03,0.7142857142857143
tempestuousness.n.01,0.5238095238095238
daub.n.01,0.5294117647058824
sawhorse.n.01,0.5294117647058824
greece.n.02,0.5238095238095238
system.n.02,0.5714285714285714
slush.n.01,0.625
amount.n.02,0.5454545454545454
art_nouveau.n.01,0.5384615384615384
fun.n.02,0.5454545454545454
nature_study.n.01,0.5263157894736843
act.n.04,0.5333333333333333
auspices.n.01,0.5263157894736843
ability.n.02,0.5555555555555556
hose.n.03,0.5263157894736843
opinion.n.04,0.5333333333333333
safety_match.n.01,0.5263157894736843
point.n.01,0.5263157894736843
rule.n.11,0.5333333333333333
committee.n.01,0.5333333333333333
founder.n.02,0.5384615384615384
eye-beaming.n.01,0.5238095238095238
sprachgefuhl.n.01,0.5294117647058824
unitization.n.04,0.5294117647058824
fabric.n.01,0.5454545454545454
silver_certificate.n.01,0.5263157894736843
luminosity.n.01,0.5454545454545454
wall.n.01,0.5333333333333333
dynamism.n.03,0.5454545454545454
earning_per_share.n.01,0.5238095238095238
subsistence.n.01,0.5333333333333333
convention.n.02,0.5454545454545454
